規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.5,162.5,146.8,15.7,13,85,81.4,3.6
100～499人,19.7,162.5,148.2,14.3,14.5,91.4,86.5,4.9
100人以上,19.6,162.5,147.5,15,13.9,88.7,84.4,4.3
30～99人,19.8,166.6,152.1,14.5,12.8,76,73.5,2.5
５～29人,20,163.1,153,10.1,12.1,70.4,68.6,1.8
30人以上,19.7,163.7,148.8,14.9,13.4,82.6,79.1,3.5
５人以上,19.7,163.5,149.8,13.7,12.8,77.1,74.4,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１０月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
