産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.77,1.62,1.58,1.43
"鉱業,採石業,砂利採取業",1.34,0.8,1.34,0.8
建設業,0.63,0.42,0.48,0.41
製造業,0.6,0.84,0.59,0.89
電気・ガス・熱供給・水道業,0.1,0.43,0.1,0.43
情報通信業,2.53,1.18,2.78,1.12
"運輸業,郵便業",1.02,1.28,1.15,1.22
"卸売業,小売業",1.33,1.6,0.87,1.32
"金融業,保険業",0.76,0.99,0.72,0.9
"不動産業,物品賃貸業",1.67,1.23,1.16,1.24
"学術研究,専門・技術サービス業",1.23,0.92,1.19,0.75
"宿泊業,飲食サービス業",4.8,4.07,3.27,2.35
"生活関連サービス業,娯楽業",1.54,1.83,1.35,1.49
"教育,学習支援業",2.88,2.19,3.14,2.45
"医療,福祉",1.51,1.37,1.16,1.27
複合サービス事業,0.38,0.3,0.43,0.3
サービス業（他に分類されないもの）,2.09,2.25,2.39,2.59
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１１月分,,,,
第４表  規模、産業別労働異動率,,,,
