産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,653561,2.3,84.2,87,1.37,0.04
鉱業，採石業，砂利採取業,1335257,-13.8,100,100,2.74,-0.38
建設業,894596,2.5,98.8,98.5,2.08,0.22
製造業,825797,6.8,85.2,91.6,1.49,-0.16
電気・ガス・熱供給・水道業,990165,-3.3,46.4,72.9,2.46,0.29
情報通信業,780147,10.2,79.9,86.1,1.53,0.1
運輸業，郵便業,602889,8.4,95,92.3,1.43,0.28
卸売業，小売業,734773,-3.5,82.6,85.6,1.35,0.06
"金融業,保険業",1147427,25.7,82.9,88.2,2.38,0.34
不動産業，物品賃貸業,730041,10.3,86.5,94.3,1.74,-0.11
学術研究，専門・技術サービス業,719612,-12.5,84.2,85.3,1.6,-0.19
宿泊業，飲食サービス業,131055,-4.8,84.8,80.2,0.4,-0.01
生活関連サービス業，娯楽業,248445,3.3,89.3,88.1,0.76,-0.11
教育，学習支援業,529780,-15.3,91.3,89.7,1.6,-0.13
医療，福祉,486904,5.1,71.1,80.1,1.38,0.32
複合サービス事業,566838,-13.9,100,100,1.74,0
サービス業（他に分類されないもの）,339693,9.3,84.9,83.3,1.13,0.14
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年冬季,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
