規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.2,17.7,16.4,140.7,148.3,129.2,127.6,132.9,119.7,13.1,15.4,9.5
100～499人,17.2,17.6,16.4,136.8,144.2,124.8,125.6,131,116.9,11.2,13.2,7.9
100人以上,17.2,17.6,16.4,138.7,146.2,127.1,126.6,131.9,118.4,12.1,14.3,8.7
30～99人,16,16.7,15,124.8,137.8,107.6,115.4,125.2,102.4,9.4,12.6,5.2
５～29人,15.6,16.7,14.6,117.3,132.3,101.3,111,123.3,97.9,6.3,9,3.4
30人以上,16.8,17.3,15.9,134.3,143.6,120.3,123,129.8,112.8,11.3,13.8,7.5
５人以上,16.4,17.2,15.5,129.2,140.6,114,119.4,128.1,107.9,9.8,12.5,6.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
