規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,156,140.3,15.7,12.7,83,79.5,3.5
100～499人,19.1,160,145.3,14.7,14.3,89.1,84.6,4.5
100人以上,18.9,157.9,142.7,15.2,13.6,86.6,82.5,4.1
30～99人,19,159.3,145.6,13.7,12.5,73.2,70.4,2.8
５～29人,19.6,161,150.9,10.1,11.9,69,67.2,1.8
30人以上,18.9,158.3,143.5,14.8,13.1,80.2,76.7,3.5
５人以上,19.1,158.9,145.3,13.6,12.6,75.1,72.4,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
