規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,474762,460724,424286,36438,14038,135918,134249,127906,6343,1669
100～499人,414551,403209,376120,27089,11342,129120,128344,122651,5693,776
100人以上,445868,433124,401172,31952,12744,131928,130783,124821,5962,1145
30～99人,381930,366120,340108,26012,15810,95697,94603,91779,2824,1094
５～29人,366209,347649,331190,16459,18560,91577,90835,88600,2235,742
30人以上,427459,413832,383590,30242,13627,114463,113343,108894,4449,1120
５人以上,412544,397716,370830,26886,14828,104190,103240,99785,3455,950
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年８月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
