産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.36,1.48,1.17,1.31
"鉱業,採石業,砂利採取業",1.2,1.6,1.2,1.6
建設業,0.39,0.49,0.28,0.39
製造業,0.86,0.9,0.97,0.97
電気・ガス・熱供給・水道業,0.07,0.14,0.07,0.14
情報通信業,0.69,0.88,0.5,0.86
"運輸業,郵便業",1.69,1.15,1.84,0.91
"卸売業,小売業",1.13,1.22,0.77,0.96
"金融業,保険業",0.56,0.85,0.64,0.83
"不動産業,物品賃貸業",1.25,1.33,0.94,1.06
"学術研究,専門・技術サービス業",0.97,0.66,0.64,0.72
"宿泊業,飲食サービス業",3.78,4.51,3.19,3.97
"生活関連サービス業,娯楽業",1.45,1.16,0.7,0.84
"教育,学習支援業",1.76,2.33,1.77,2.57
"医療,福祉",1.17,1.43,1.33,1.65
複合サービス事業,0.88,1,1.12,1.54
サービス業（他に分類されないもの）,1.89,1.9,2.12,2.06
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１２月分,,,,
第４表  規模、産業別労働異動率,,,,
