規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,685712,459117,422399,36718,226595,142763,138349,132215,6134,4414
100～499人,541954,403495,377287,26208,138459,135141,128187,123368,4819,6954
100人以上,616490,432334,400677,31657,184156,138334,132444,127074,5370,5890
30～99人,503358,371296,345521,25775,132062,105336,102472,100022,2450,2864
５～29人,493880,351000,335385,15615,142880,97657,93915,91880,2035,3742
30人以上,584085,414851,384879,29972,169234,122272,117855,113907,3948,4417
５人以上,562124,399306,372829,26477,162818,111238,107124,104033,3091,4114
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年７月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
