産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.86,2.91,1.66,2.62
"鉱業,採石業,砂利採取業",1.13,1.84,1.13,1.84
建設業,0.72,0.9,0.83,1
製造業,1.11,0.96,1.14,0.93
電気・ガス・熱供給・水道業,0.18,1.03,0.2,0.47
情報通信業,0.86,1.13,0.78,1.01
"運輸業,郵便業",2.05,2.05,2.34,2.31
"卸売業,小売業",2.07,2.31,2.09,1.67
"金融業,保険業",0.78,1.57,0.67,1.58
"不動産業,物品賃貸業",1.47,1.75,1.47,1.42
"学術研究,専門・技術サービス業",1.1,1.19,0.94,1.3
"宿泊業,飲食サービス業",4.22,6.54,3.45,4.4
"生活関連サービス業,娯楽業",2.57,3.59,2.29,3.5
"教育,学習支援業",1.96,6.15,1.22,6.49
"医療,福祉",1.84,3.64,1.56,3.25
複合サービス事業,0.47,2.56,0.5,2.34
サービス業（他に分類されないもの）,2.18,4.63,2.45,5.27
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年３月分,,,,
第４表  規模、産業別労働異動率,,,,
