規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,16.8,17.3,16,138.2,146.1,126.2,124.3,129.6,116.3,13.9,16.5,9.9
100～499人,17.2,17.8,16.2,137.3,145.7,123.5,124.6,130.5,114.9,12.7,15.2,8.6
100人以上,17,17.5,16.1,137.7,145.8,124.9,124.4,130,115.6,13.3,15.8,9.3
30～99人,16.7,17.4,15.6,131.9,145.1,113.1,120.5,130.1,106.8,11.4,15,6.3
５～29人,16.4,17.6,15.1,125.5,142.7,107.7,117.6,131.5,103.1,7.9,11.2,4.6
30人以上,16.9,17.5,16,135.8,145.6,120.9,123.1,130,112.6,12.7,15.6,8.3
５人以上,16.7,17.5,15.7,132.7,144.8,116.3,121.5,130.4,109.3,11.2,14.4,7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
