規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,160.1,145,15.1,11.8,78.9,75.2,3.7
100～499人,19.3,157.8,144.7,13.1,12.8,76.4,74.2,2.2
100人以上,19.2,159.1,144.9,14.2,12.4,77.4,74.6,2.8
30～99人,19.5,160.5,148.2,12.3,10.7,61.3,59.6,1.7
５～29人,19.4,157.3,148.7,8.6,10.1,59.3,57.9,1.4
30人以上,19.3,159.4,145.8,13.6,11.6,69.6,67.3,2.3
５人以上,19.3,158.9,146.5,12.4,10.9,64.9,63,1.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年４月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
