産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.16,2.04,2,1.85
"鉱業,採石業,砂利採取業",1.34,1.47,1.34,1.47
建設業,1.13,1.48,1.32,1.34
製造業,0.97,1.21,1.11,1.24
電気・ガス・熱供給・水道業,1.15,1.9,1.15,1.9
情報通信業,1.54,1.9,1.49,1.85
"運輸業,郵便業",2.37,2.63,2.63,2.99
"卸売業,小売業",1.59,1.55,1.24,1.18
"金融業,保険業",1.93,1.65,1.81,1.65
"不動産業,物品賃貸業",1.38,2.19,1.4,2.14
"学術研究,専門・技術サービス業",0.73,1.57,0.88,1.85
"宿泊業,飲食サービス業",5.36,4.37,3.95,2.98
"生活関連サービス業,娯楽業",3.15,1.82,2.71,1.72
"教育,学習支援業",3.6,2.09,3.77,1.7
"医療,福祉",2.38,1.92,2.29,1.44
複合サービス事業,0.52,0.51,0.58,0.56
サービス業（他に分類されないもの）,2.59,2.48,2.96,2.75
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年７月分,,,,
第４表  規模、産業別労働異動率,,,,
