規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,434748,515397,311592,414151,489057,299765,380777,33374,20597,26340,11827
100～499人,375119,432651,283066,359834,416776,268726,334697,25137,15285,15875,14340
100人以上,405059,473821,297592,387107,452739,284532,357834,29273,17952,21082,13060
30～99人,328173,394338,235940,295145,358090,207400,275539,19606,33028,36248,28540
５～29人,261668,334500,185650,251989,321604,179330,239866,12123,9679,12896,6320
30人以上,379858,448571,276447,356964,422671,258078,330860,26104,22894,25900,18369
５人以上,344111,417851,244939,325214,395453,230751,303339,21875,18897,22398,14188
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
