規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.4,154.8,138.6,16.2,12,80.4,76.7,3.7
100～499人,18.8,155.1,140.5,14.6,13.3,81.8,78.6,3.2
100人以上,18.6,154.9,139.5,15.4,12.8,81.2,77.8,3.4
30～99人,19.1,159.6,145.5,14.1,11.9,73.2,69.5,3.7
５～29人,19.6,163,151.5,11.5,11.4,68.8,66.5,2.3
30人以上,18.7,156.2,141.2,15,12.4,77.4,73.8,3.6
５人以上,19,158,143.8,14.2,11.9,73.5,70.5,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年３月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
