規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,455955,540886,326038,413752,487942,300265,384798,28954,42203,52944,25773
100～499人,371590,427097,279680,351198,402904,265582,331785,19413,20392,24193,14098
100人以上,414145,483623,303627,382751,445148,283498,358526,24225,31394,38475,20129
30～99人,305500,366971,219930,287469,345769,206313,272838,14631,18031,21202,13617
５～29人,257373,331460,179212,247835,319316,172423,239864,7971,9538,12144,6789
30人以上,379030,447276,275095,351955,414183,257186,330830,21125,27075,33093,17909
５人以上,343237,416963,242636,321322,389353,228491,304067,17255,21915,27610,14145
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年５月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
