産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.71,1.81,1.63,1.67
"鉱業,採石業,砂利採取業",4.5,4.15,4.5,4.15
建設業,0.93,0.75,0.83,0.82
製造業,1.38,1.06,1.73,0.98
電気・ガス・熱供給・水道業,0.37,0.63,0.41,0.7
情報通信業,0.86,1.03,0.85,0.98
"運輸業,郵便業",1.65,1.87,1.94,2.04
"卸売業,小売業",1.2,1.53,0.83,1.19
"金融業,保険業",1.47,2.56,1.34,2.53
"不動産業,物品賃貸業",1.65,1.35,1.27,1.02
"学術研究,専門・技術サービス業",1.27,1.16,1.03,1.09
"宿泊業,飲食サービス業",3.46,3.24,2.5,2.71
"生活関連サービス業,娯楽業",1.22,2.08,1.59,1.44
"教育,学習支援業",1.81,2.79,1.9,2.27
"医療,福祉",1.35,1.78,1.32,1.8
複合サービス事業,0.39,0.57,0.19,0.55
サービス業（他に分類されないもの）,3.28,2.43,3.65,2.77
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１月分,,,,
第４表  規模、産業別労働異動率,,,,
