規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,476289,566098,340347,421640,499823,303297,386726,34914,54649,66275,37050
100～499人,434527,511097,305732,360334,416978,265057,335668,24666,74193,94119,40675
100人以上,455408,538040,323601,390988,457560,284797,361198,29790,64420,80480,38804
30～99人,316744,383973,223482,291819,355086,204052,272140,19679,24925,28887,19430
５～29人,265284,339302,185840,251987,320542,178407,238758,13229,13297,18760,7433
30人以上,410033,489510,288973,358537,425282,256870,332055,26482,51496,64228,32103
５人以上,366425,448964,253481,326437,397009,229868,303948,22489,39988,51955,23613
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
