規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.7,18.2,16.8,144.9,153.2,132.4,131,136.8,122.2,13.9,16.4,10.2
100～499人,18,18.5,17.3,144.6,152.6,132,131.6,137.3,122.6,13,15.3,9.4
100人以上,17.8,18.4,17,144.8,152.9,132.2,131.3,137.1,122.4,13.5,15.8,9.8
30～99人,17.2,18.1,16,135.6,150.2,115.7,124.9,135.9,109.8,10.7,14.3,5.9
５～29人,16.6,17.8,15.3,125.3,142.2,107.3,118.3,132.1,103.6,7,10.1,3.7
30人以上,17.6,18.3,16.7,141.8,152.1,126.7,129.2,136.7,118.2,12.6,15.4,8.5
５人以上,17.3,18.1,16.2,136.9,149.5,120.2,126,135.5,113.3,10.9,14,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
