規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.3,158,146.6,11.4,12,71.1,68.8,2.3
５人以上,"鉱業,採石業,砂利採取業",20.9,171.2,152,19.2,13.9,105,104.7,0.3
５人以上,建設業,20.2,171.6,154.9,16.7,16,108.5,103.9,4.6
５人以上,製造業,19.2,156.9,148,8.9,16.4,116.7,105.8,10.9
５人以上,電気・ガス・熱供給・水道業,19.8,165.5,149.9,15.6,14.3,101.7,100.4,1.3
５人以上,情報通信業,19.7,166.5,150.9,15.6,13.1,84.1,81.8,2.3
５人以上,"運輸業,郵便業",17.9,152.8,136.3,16.5,14.9,98.2,91.4,6.8
５人以上,"卸売業,小売業",19.2,154.3,146,8.3,13.6,85.6,82.6,3
５人以上,"金融業,保険業",19.6,159.7,142.1,17.6,16,105.1,102.4,2.7
５人以上,"不動産業,物品賃貸業",19.6,161.8,149.2,12.6,13.5,74.5,73,1.5
５人以上,"学術研究,専門・技術サービス業",20.2,166,153.7,12.3,11.5,76.4,73.9,2.5
５人以上,"宿泊業,飲食サービス業",16.5,136.5,127.9,8.6,9.7,52.4,51.1,1.3
５人以上,"生活関連サービス業,娯楽業",17.5,138.3,132.4,5.9,8.7,46.8,46.1,0.7
５人以上,"教育,学習支援業",19.5,156.8,149,7.8,8.6,45,44.4,0.6
５人以上,"医療,福祉",19.8,157.7,151.6,6.1,11.4,60.8,59.8,1
５人以上,複合サービス事業,19.8,162.6,154.1,8.5,17.8,104.1,99.3,4.8
５人以上,サービス業（他に分類されないもの）,19.3,154,143.1,10.9,15,90.8,88.3,2.5
30人以上,調査産業計,19.2,157.6,145.1,12.5,12.7,75.9,72.8,3.1
30人以上,"鉱業,採石業,砂利採取業",20.9,171.2,152,19.2,13.9,105,104.7,0.3
30人以上,建設業,19.6,170.8,150.9,19.9,13.8,99.5,92.7,6.8
30人以上,製造業,19,157.5,147,10.5,16.9,126.4,110.7,15.7
30人以上,電気・ガス・熱供給・水道業,20.2,170.1,153.4,16.7,14.3,101.7,100.4,1.3
30人以上,情報通信業,19.7,166.3,150.2,16.1,13.2,86.4,83.6,2.8
30人以上,"運輸業,郵便業",17.5,150.3,132.7,17.6,14.2,96.7,89.5,7.2
30人以上,"卸売業,小売業",19,153.7,144.4,9.3,14.9,93.6,89,4.6
30人以上,"金融業,保険業",19.5,160.3,141.4,18.9,16.4,111.7,108.1,3.6
30人以上,"不動産業,物品賃貸業",19.3,158.4,146.3,12.1,14.6,75.7,73.7,2
30人以上,"学術研究,専門・技術サービス業",20.4,167.9,154.2,13.7,11.3,78.7,76.3,2.4
30人以上,"宿泊業,飲食サービス業",14.3,113.1,109.7,3.4,8.9,45.1,44.1,1
30人以上,"生活関連サービス業,娯楽業",17.5,139.3,132.6,6.7,7.3,33,32.3,0.7
30人以上,"教育,学習支援業",19.6,155.4,148.1,7.3,8.8,46.2,45.8,0.4
30人以上,"医療,福祉",19.7,156.7,150,6.7,12.1,65.6,64.4,1.2
30人以上,複合サービス事業,19.8,170.4,158.3,12.1,18.2,97.4,90.7,6.7
30人以上,サービス業（他に分類されないもの）,19.1,152.8,141.3,11.5,15.1,92.3,89.5,2.8
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年６月分,,,,,,,,,
第６表  規模、産業、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
