規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,485563,461589,428011,33578,23974,139079,136943,131071,5872,2136
100～499人,429225,411633,385899,25734,17592,130923,129775,123953,5822,1148
100人以上,458482,437576,407768,29808,20906,134289,132733,126891,5842,1556
30～99人,389771,368029,342829,25200,21742,104555,103170,100761,2409,1385
５～29人,360106,349079,332068,17011,11027,94189,93599,91276,2323,590
30人以上,438953,417809,389311,28498,21144,119510,118039,113903,4136,1471
５人以上,419753,401073,375372,25701,18680,108074,107001,103684,3317,1073
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年９月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
