規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.3,17.8,16.6,142.1,149.5,130.6,128.4,133.4,120.6,13.7,16.1,10
100～499人,17.2,17.7,16.4,137.2,145.3,124.3,124.5,130.1,115.5,12.7,15.2,8.8
100人以上,17.3,17.7,16.5,139.6,147.4,127.5,126.4,131.8,118.1,13.2,15.6,9.4
30～99人,16.4,17,15.5,129.8,142.5,112,118.7,127.9,105.9,11.1,14.6,6.1
５～29人,15.4,16.6,14.2,118.1,134,101.4,110.8,123.9,97.2,7.3,10.1,4.2
30人以上,17,17.5,16.2,136.4,145.8,122.2,123.9,130.5,113.9,12.5,15.3,8.3
５人以上,16.5,17.3,15.5,130.8,142.6,115,119.9,128.7,108.1,10.9,13.9,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
