規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,460404,547548,331027,426536,504472,310830,391786,34750,33868,43076,20197
100～499人,385455,441427,295759,361661,414695,276675,335776,25885,23794,26732,19084
100人以上,423087,493914,313876,394235,459098,294220,363899,30336,28852,34816,19656
30～99人,312281,379121,219930,290418,348184,210604,271737,18681,21863,30937,9326
５～29人,268207,339422,192887,255541,323310,183866,243751,11790,12666,16112,9021
30人以上,387205,457852,282099,360616,424255,265937,334054,26562,26589,33597,16162
５人以上,351968,426402,252021,329502,397448,238267,307314,22188,22466,28954,13754
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
