規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.4,153.9,138.5,15.4,12.6,81.2,77.7,3.5
100～499人,18.9,156.2,141.4,14.8,13.9,88.1,83.5,4.6
100人以上,18.6,155,139.9,15.1,13.4,85.1,81,4.1
30～99人,19,159.3,145.6,13.7,12.6,75.3,72,3.3
５～29人,19.4,159.4,149.2,10.2,12,69.7,67.8,1.9
30人以上,18.7,156.3,141.6,14.7,13,80.4,76.7,3.7
５人以上,18.9,157,143.4,13.6,12.5,75.5,72.6,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
