規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.8,148.9,134.5,14.4,12.1,80.3,76.8,3.5
100～499人,17.9,147.6,135,12.6,13.5,85.1,80.6,4.5
100人以上,17.9,148.3,134.8,13.5,13,83.1,79,4.1
30～99人,17.6,147.3,134.9,12.4,11.9,67.9,65.9,2
５～29人,18.1,147.5,138.4,9.1,11.6,66.5,64.9,1.6
30人以上,17.8,148,134.8,13.2,12.4,75.8,72.7,3.1
５人以上,17.9,147.9,135.7,12.2,12,71.6,69.2,2.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年８月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
