規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,451982,530650,328853,429694,503956,313462,395774,33920,22288,26694,15391
100～499人,399447,459465,300227,365782,420039,276086,341562,24220,33665,39426,24141
100人以上,425765,494751,314808,397799,461637,295124,368720,29079,27966,33114,19684
30～99人,308023,374295,217414,289776,349483,208142,272249,17527,18247,24812,9272
５～29人,265459,341231,185451,251244,321844,176697,240729,10515,14215,19387,8754
30人以上,387396,457209,280961,362597,426682,264895,337282,25315,24799,30527,16066
５人以上,350986,426381,248173,329348,398815,234617,308453,20895,21638,27566,13556
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
