規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,434182,511041,318629,421625,497622,307369,388791,32834,12557,13419,11260
100～499人,365099,418216,278839,355588,407952,270550,332205,23383,9511,10264,8289
100人以上,399949,464345,299380,388901,452513,289557,360751,28150,11048,11832,9823
30～99人,300978,365208,215971,289330,350783,207998,269876,19454,11648,14425,7973
５～29人,263655,336660,186211,251749,319004,180404,240601,11148,11906,17656,5807
30人以上,367791,433591,270463,356548,420955,261281,331223,25325,11243,12636,9182
５人以上,337208,408000,242371,325770,394038,234315,304609,21161,11438,13962,8056
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
