規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.7,19.4,17.7,153.6,162.8,139.8,139.3,145.8,129.5,14.3,17,10.3
100～499人,18.8,19.3,18,150.2,158.4,136.8,137.5,143.5,127.8,12.7,14.9,9
100人以上,18.8,19.4,17.9,151.9,160.5,138.4,138.4,144.6,128.7,13.5,15.9,9.7
30～99人,17.8,18.8,16.6,140.9,155.1,121.2,129.8,140.3,115.2,11.1,14.8,6
５～29人,17,18.3,15.7,128.4,145.8,110.1,121.4,135.7,106.4,7,10.1,3.7
30人以上,18.5,19.2,17.4,148.3,158.9,132.5,135.6,143.3,124.1,12.7,15.6,8.4
５人以上,18,18.9,16.8,142.4,155.4,125,131.4,141.3,118.1,11,14.1,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
