事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,TL 調査産業計,平成27,2015,年平均,406806,497268,273714,326216,393912,226620,303724,22492,80590,103356,47094
５人以上,TL 調査産業計,平成28,2016,年平均,408611,501351,274902,326130,395143,226630,304022,22108,82481,106208,48272
５人以上,TL 調査産業計,平成29,2017,年平均,411953,504879,279725,327748,396619,229749,305943,21805,84205,108260,49976
５人以上,TL 調査産業計,平成30,2018,年平均,413275,508281,284286,327195,396642,232907,305852,21343,86080,111639,51379
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,414622,512436,283337,328799,400237,232916,306124,22675,85823,112199,50421
５人以上,TL 調査産業計,令和２,2020,年平均,408589,501609,282969,327112,395910,234203,306261,20851,81477,105699,48766
５人以上,TL 調査産業計,令和２,2020,1月,344111,417851,244939,325214,395453,230751,303339,21875,18897,22398,14188
５人以上,TL 調査産業計,令和２,2020,2月,338021,412095,237733,326077,396281,231030,303727,22350,11944,15814,6703
５人以上,TL 調査産業計,令和２,2020,3月,366425,448964,253481,326437,397009,229868,303948,22489,39988,51955,23613
５人以上,TL 調査産業計,令和２,2020,4月,350986,426381,248173,329348,398815,234617,308453,20895,21638,27566,13556
５人以上,TL 調査産業計,令和２,2020,5月,343237,416963,242636,321322,389353,228491,304067,17255,21915,27610,14145
５人以上,TL 調査産業計,令和２,2020,6月,618970,778633,404249,325971,394301,234078,308071,17900,292999,384332,170171
５人以上,TL 調査産業計,令和２,2020,7月,452028,560555,304211,327962,395363,236159,307196,20766,124066,165192,68052
５人以上,TL 調査産業計,令和２,2020,8月,337208,408000,242371,325770,394038,234315,304609,21161,11438,13962,8056
５人以上,TL 調査産業計,令和２,2020,9月,343224,415783,246476,328867,397936,236772,308662,20205,14357,17847,9704
５人以上,TL 調査産業計,令和２,2020,10月,339748,409314,245954,329760,397044,239044,308265,21495,9988,12270,6910
５人以上,TL 調査産業計,令和２,2020,11月,351968,426402,252021,329502,397448,238267,307314,22188,22466,28954,13754
５人以上,TL 調査産業計,令和２,2020,12月,720433,904194,474317,329190,397927,237129,307592,21598,391243,506267,237188
５人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,727494,801759,515086,546027,598271,396602,518096,27931,181467,203488,118484
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,802882,863788,591888,577972,621460,427321,545840,32132,224910,242328,164567
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,825999,889972,607677,569232,609297,432501,534408,34824,256767,280675,175176
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,1月,556719,599971,415158,556205,599419,414771,527868,28337,514,552,387
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,2月,582877,629927,432974,582647,629661,432856,549351,33296,230,266,118
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,3月,598789,639200,465622,564814,604006,435662,530919,33895,33975,35194,29960
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,4月,573642,613220,445411,571259,611020,442433,536935,34324,2383,2200,2978
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,5月,577275,615129,439487,576743,614451,439487,538911,37832,532,678,－
