規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.5,147.1,131.6,15.5,12.2,81.9,78.2,3.7
100～499人,18,149.3,134.6,14.7,13.4,83.9,80.3,3.6
100人以上,17.8,148.1,133,15.1,12.9,83,79.4,3.6
30～99人,18.5,156.2,141.4,14.8,12.2,74.1,70.7,3.4
５～29人,19.4,161.4,149.8,11.6,11.6,70.3,67.9,2.4
30人以上,18,150.5,135.5,15,12.6,78.8,75.3,3.5
５人以上,18.3,153.2,139,14.2,12.1,74.9,71.9,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
