規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,154.7,140.8,13.9,11.9,77.9,74.7,3.2
100～499人,19.3,157.1,144.9,12.2,13.8,84.6,80.5,4.1
100人以上,18.9,155.9,142.8,13.1,13,81.8,78.1,3.7
30～99人,19.7,161.9,150.7,11.2,12.4,69.3,66.9,2.4
５～29人,19.8,159.3,151.4,7.9,11.2,65.3,64,1.3
30人以上,19.2,157.6,145.1,12.5,12.7,75.9,72.8,3.1
５人以上,19.3,158,146.6,11.4,12,71.1,68.8,2.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年６月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
