規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.7,163.5,148.2,15.3,13,85,81.4,3.6
100～499人,19.7,161,147.5,13.5,14,86.1,82.5,3.6
100人以上,19.7,162.3,147.9,14.4,13.6,85.6,82,3.6
30～99人,19.9,165.3,152.2,13.1,12.9,73.7,71.1,2.6
５～29人,20.2,163.8,154.3,9.5,11.9,68.8,67.2,1.6
30人以上,19.8,163.1,149.1,14,13.2,79.8,76.7,3.1
５人以上,19.9,163.3,150.4,12.9,12.7,74.9,72.5,2.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年７月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
