規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.6,18.2,16.7,145.3,153.7,132.4,130.7,136.5,121.8,14.6,17.2,10.6
100～499人,17.7,18.3,16.8,141.1,149.6,126.8,128.7,134.9,118.2,12.4,14.7,8.6
100人以上,17.7,18.3,16.8,143.2,151.6,129.6,129.7,135.7,120,13.5,15.9,9.6
30～99人,16.9,17.8,15.7,133.8,147.8,114.3,122.8,133.2,108.3,11,14.6,6
５～29人,16.3,17.6,15,125.4,142.8,106.8,117.6,131.8,102.4,7.8,11,4.4
30人以上,17.4,18.1,16.4,140.1,150.4,124.4,127.4,134.9,116,12.7,15.5,8.4
５人以上,17.1,18,15.9,135.7,148.4,118.3,124.5,134.1,111.3,11.2,14.3,7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
