規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,16.2,17,15,132.5,141.4,119.1,121,128,110.4,11.5,13.4,8.7
100～499人,16.2,16.7,15.4,127.2,133.8,116.3,118,123.1,109.5,9.2,10.7,6.8
100人以上,16.2,16.9,15.2,129.9,137.5,117.7,119.5,125.5,109.9,10.4,12,7.8
30～99人,15.2,15.9,14.1,118.2,129.8,102,110.4,119.5,97.7,7.8,10.3,4.3
５～29人,13.8,15.2,12.4,103.2,118.9,86.6,99,113,84.2,4.2,5.9,2.4
30人以上,15.9,16.6,14.8,126.2,135.1,112.4,116.6,123.6,105.8,9.6,11.5,6.6
５人以上,15.3,16.2,14,119.4,130.9,103.7,111.4,120.9,98.5,8,10,5.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
