事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,653359,1.5,80.9,83.9,1.35,-0.01,634156,-3,80,84.3,1.35,-0.02
30人以上,"C 鉱業,採石業,砂利採取業",1505958,3.4,100,100,3.11,0.37,1292975,-3.2,71.4,81.4,2.68,-0.06
30人以上,D 建設業,1027537,3.5,92.7,93.4,2.38,0.02,823616,-7.9,92.8,96.7,1.81,-0.27
30人以上,E 製造業,793452,3.1,84.1,92.4,1.4,-0.09,753348,-8.8,85.5,89.7,1.35,-0.14
30人以上,F 電気・ガス・熱供給・水道業,920590,-2.4,57.1,81.8,2.32,0.26,899518,-9.2,72.8,87.4,2.2,-0.26
30人以上,G 情報通信業,786667,0.8,78.9,83.5,1.44,-0.04,724381,-7.1,82.8,86.9,1.39,-0.14
30人以上,"H 運輸業,郵便業",433584,-12,64.5,68.3,1.17,-0.17,462722,-23.2,72,73.5,1.26,-0.17
30人以上,"I 卸売業,小売業",706108,2.1,87.6,91.4,1.37,0.09,679899,-7.5,85.8,89.9,1.38,0.03
30人以上,"J 金融業,保険業",1034909,1.3,84,87.8,2.32,0.07,1183355,3.1,84.6,86.2,2.27,-0.11
30人以上,"K 不動産業,物品賃貸業",667542,-13.9,85.2,91,1.6,-0.14,691048,-5.3,87.9,91.5,1.61,-0.13
30人以上,"L 学術研究,専門・技術サービス業",763695,-9.7,84.9,68.2,1.52,-0.2,680260,-5.5,83.2,87.3,1.5,-0.1
30人以上,"M 宿泊業,飲食サービス業",68490,-33.3,83,82.4,0.36,0,68793,-47.5,76.6,73.1,0.34,-0.06
30人以上,"N 生活関連サービス業,娯楽業",324941,18.5,77.7,80.7,0.93,0.19,254468,2.4,66.7,66.3,0.66,-0.1
30人以上,"O 教育,学習支援業",601990,19.3,96.7,93.6,1.71,0.24,646615,22.1,84.6,90.4,1.88,0.28
30人以上,"P 医療,福祉",434047,-2.2,73.1,79.9,1.25,-0.07,491382,0.9,67.3,73.1,1.52,0.14
30人以上,Q 複合サービス事業,518001,-3.9,100,100,1.52,0.03,557214,-1.7,100,100,1.76,0.02
30人以上,R サービス業（他に分類されないもの）,347505,-18.7,70.9,75.6,1.14,-0.11,354303,4.3,77.1,78,1.14,0.01
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況（事業所規模30人以上）,,,,,,,,,,,,,
