産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.57,1.93,1.3,1.75
"鉱業,採石業,砂利採取業",1.21,0.87,1.21,0.87
建設業,0.92,1.71,1.16,2.22
製造業,0.77,0.89,0.79,0.77
電気・ガス・熱供給・水道業,0.57,0.4,0.57,0.4
情報通信業,0.98,0.9,0.91,0.9
"運輸業,郵便業",1.15,1.56,1.3,1.76
"卸売業,小売業",1.46,1.55,1,1
"金融業,保険業",1.31,1.13,1.31,1.24
"不動産業,物品賃貸業",1.4,1.14,1.37,1.18
"学術研究,専門・技術サービス業",0.59,0.91,0.61,0.93
"宿泊業,飲食サービス業",3.92,5,2.63,4.06
"生活関連サービス業,娯楽業",2.78,2.96,1.96,2.08
"教育,学習支援業",1.8,1.73,1.54,2
"医療,福祉",1.58,2.16,1.06,2.25
複合サービス事業,0.87,0.78,0.73,0.43
サービス業（他に分類されないもの）,1.9,3.06,2.19,3.43
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年８月分,,,,
第４表  規模、産業別労働異動率,,,,
