規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,477562,461168,423662,37506,16394,132197,130921,124178,6743,1276
100～499人,430996,414544,384977,29567,16452,125564,124943,120029,4914,621
100人以上,455090,438668,404993,33675,16422,128392,127492,121799,5693,900
30～99人,396386,374702,347518,27184,21684,103390,102639,99195,3444,751
５～29人,366139,356248,336064,20184,9891,93834,93383,90466,2917,451
30人以上,438075,420128,388335,31793,17947,116574,115744,111114,4630,830
５人以上,420200,404255,375346,28909,15945,106260,105602,101749,3853,658
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
