規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17,141.1,128.4,12.7,10.6,71.3,68.2,3.1
100～499人,17,137.2,126.9,10.3,12.4,78,74.2,3.8
100人以上,17,139.3,127.7,11.6,11.7,75.1,71.6,3.5
30～99人,17.1,140.1,130.2,9.9,10,59.7,57.4,2.3
５～29人,16.6,132.8,126.7,6.1,9.1,53.6,52.5,1.1
30人以上,17,139.5,128.4,11.1,10.9,67.8,64.9,2.9
５人以上,16.9,137.9,128,9.9,10.1,61.4,59.3,2.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年５月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
