規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,8050182,4608458,3441724,126338,57233,69105,155229,71829,83400,8021291,4593862,3427429,24.4,14.7,37.4
５人以上,"鉱業,採石業,砂利採取業",1492,1172,320,18,15,3,13,13,0,1497,1174,323,0.7,0.9,－
５人以上,建設業,388154,320412,67742,3569,2763,806,6631,4375,2256,385092,318800,66292,2.1,0.9,8.3
５人以上,製造業,580484,402711,177773,4483,2143,2340,5179,3164,2015,579788,401690,178098,9.5,3.9,22.3
５人以上,電気・ガス・熱供給・水道業,25035,20912,4123,143,124,19,101,97,4,25077,20939,4138,2,2,2.5
５人以上,情報通信業,852440,611488,240952,8312,4650,3662,7707,4450,3257,853045,611688,241357,3.6,1.5,8.9
５人以上,"運輸業,郵便業",477313,348975,128338,5510,3248,2262,7430,4418,3012,475393,347805,127588,16.8,13.6,25.6
５人以上,"卸売業,小売業",1664632,930675,733957,24248,11648,12600,25738,13094,12644,1663142,929229,733913,27.5,14.4,44
５人以上,"金融業,保険業",399267,202255,197012,5226,2904,2322,4509,2632,1877,399984,202527,197457,5.3,1.2,9.4
５人以上,"不動産業,物品賃貸業",216782,135289,81493,3026,1754,1272,2475,1666,809,217333,135377,81956,18.9,14.2,26.6
５人以上,"学術研究,専門・技術サービス業",388315,255492,132823,2306,1381,925,3517,2230,1287,387104,254643,132461,8.2,4.7,14.8
５人以上,"宿泊業,飲食サービス業",619213,284795,334418,24302,9712,14590,30946,12344,18602,612569,282163,330406,75.5,63,86.2
５人以上,"生活関連サービス業,娯楽業",246444,103797,142647,6858,2912,3946,7305,3350,3955,245997,103359,142638,43.8,37,48.8
５人以上,"教育,学習支援業",412203,210293,201910,7428,2555,4873,7138,3698,3440,412493,209150,203343,40.9,33.3,48.8
５人以上,"医療,福祉",777866,204706,573160,12257,3285,8972,16815,2182,14633,773308,205809,567499,33.2,24,36.5
５人以上,複合サービス事業,37760,23698,14062,330,178,152,293,142,151,37797,23734,14063,18.2,7.2,36.9
５人以上,サービス業（他に分類されないもの）,962782,551788,410994,18322,7961,10361,29432,13974,15458,951672,545775,405897,24,17.2,33.1
30人以上,調査産業計,5688624,3391817,2296807,73703,36366,37337,99381,47281,52100,5662946,3380902,2282044,19,11.4,30.3
30人以上,"鉱業,採石業,砂利採取業",1492,1172,320,18,15,3,13,13,0,1497,1174,323,0.7,0.9,－
30人以上,建設業,257660,218575,39085,2999,2374,625,5724,3593,2131,254935,217356,37579,1.1,0.7,3.4
30人以上,製造業,427115,301398,125717,3368,1707,1661,3301,2108,1193,427182,300997,126185,8.5,3.5,20.3
30人以上,電気・ガス・熱供給・水道業,25035,20912,4123,143,124,19,101,97,4,25077,20939,4138,2,2,2.5
30人以上,情報通信業,749648,538468,211180,6814,3413,3401,6752,3859,2893,749710,538022,211688,3.3,1.4,8.1
30人以上,"運輸業,郵便業",402890,297482,105408,5243,3248,1995,7078,4168,2910,401055,296562,104493,17.2,14.3,25.6
30人以上,"卸売業,小売業",1049807,613483,436324,10481,5972,4509,10522,5558,4964,1049766,613897,435869,20,8.9,35.7
30人以上,"金融業,保険業",327705,168021,159684,4298,2241,2057,4077,2459,1618,327926,167803,160123,4.8,1.1,8.7
30人以上,"不動産業,物品賃貸業",145784,92874,52910,2002,1170,832,1726,1013,713,146060,93031,53029,16.6,14,21
30人以上,"学術研究,専門・技術サービス業",272763,182813,89950,1654,846,808,2529,1380,1149,271888,182279,89609,6.1,3,12.6
30人以上,"宿泊業,飲食サービス業",207961,94879,113082,5475,1869,3606,8451,3585,4866,204985,93163,111822,68.7,54.6,80.4
30人以上,"生活関連サービス業,娯楽業",136359,59161,77198,2674,1238,1436,2833,1387,1446,136200,59012,77188,41.5,29,51.1
30人以上,"教育,学習支援業",328005,174938,153067,5058,2012,3046,6568,3524,3044,326495,173426,153069,39.2,32.7,46.7
30人以上,"医療,福祉",520263,160957,359306,5539,2234,3305,11720,1740,9980,514082,161451,352631,27.7,22.2,30.2
30人以上,複合サービス事業,24422,17446,6976,178,91,87,105,55,50,24495,17482,7013,18.7,8.9,43
30人以上,サービス業（他に分類されないもの）,811715,449238,362477,17759,7812,9947,27881,12742,15139,801593,444308,357285,25.5,19.1,33.4
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年８月分,,,,,,,,,,,,,,,,
第３表  規模、産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
