規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,449531,530721,328676,427120,503488,313442,393819,33301,22411,27233,15234
100～499人,369783,423001,282636,360182,412532,274456,335895,24287,9601,10469,8180
100人以上,409958,476263,306499,393904,457505,294663,365076,28828,16054,18758,11836
30～99人,297692,356985,215941,292560,351168,211753,273933,18627,5132,5817,4188
５～29人,259177,326942,187762,255207,321448,185398,243305,11902,3970,5494,2364
30人以上,373542,438872,275645,361030,424171,266415,335511,25519,12512,14701,9230
５人以上,339748,409314,245954,329760,397044,239044,308265,21495,9988,12270,6910
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１０月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
