産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.76,1.77,1.49,1.67
"鉱業,採石業,砂利採取業",1.2,0.67,1.2,0.67
建設業,0.64,0.58,0.64,0.5
製造業,0.85,0.87,0.66,0.89
電気・ガス・熱供給・水道業,0.19,0.16,0.19,0.16
情報通信業,0.83,1,0.67,0.93
"運輸業,郵便業",1.1,1.16,1.19,1.29
"卸売業,小売業",1.83,1.45,1.13,1.19
"金融業,保険業",0.91,1.02,0.85,1.13
"不動産業,物品賃貸業",1.23,1.18,1.21,1.06
"学術研究,専門・技術サービス業",0.77,0.96,0.8,0.89
"宿泊業,飲食サービス業",3.07,5.02,1.72,6.93
"生活関連サービス業,娯楽業",2.97,2.08,1.28,1.26
"教育,学習支援業",4.1,3.85,4.47,4.12
"医療,福祉",1.86,1.79,1.84,1.61
複合サービス事業,0.44,0.99,0.67,1.14
サービス業（他に分類されないもの）,2.51,2.11,2.73,2.35
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年９月分,,,,
第４表  規模、産業別労働異動率,,,,
