区分,施設名,所在地,電話・FAXでの問い合わせ,インターネット・メールでのお問合せ
公園,青山公園,港区六本木七丁目ほか,TEL03-3470-3223/FAX03-3470-3224/青山公園サービスセンター,（公財）東京都公園協会お問合せフォームへ
公園,赤塚公園,板橋区高島平三丁目ほか,TEL03-3938-5715/FAX03-3938-5922/赤塚公園サービスセンター,（公財）東京都公園協会お問合せフォームへ
公園,秋留台公園,あきる野市二宮・平沢,TEL042-559-6910/FAX042-550-2654/秋留台公園サービスセンター,（公財）東京都公園協会お問合せフォームへ
公園,井の頭恩賜公園,武蔵野市御殿山一丁目/三鷹市井の頭三丁目ほか,TEL0422-47-6900/FAX0422-47-9371/井の頭恩賜公園案内所,S0200219(at)section.metro.tokyo.jp（東京都西部公園緑地事務所）
公園,上野恩賜公園,台東区上野公園ほか,TEL03-3828-5644/FAX03-3827-7752/上野恩賜公園事務所,S8000426(at)section.metro.tokyo.jp（東京都東部公園緑地事務所）
公園,宇喜田公園,江戸川区北葛西三丁目ほか,TEL03-3636-9365/FAX03-3636-9365/大島小松川公園サービスセンター,アメニス東部地区グループお問合せフォームへ
公園,浮間公園,板橋区舟渡二丁目/北区浮間二丁目,TEL03-3969-9168/FAX03-3969-9571/浮間公園サービスセンター,（公財）東京都公園協会お問合せフォームへ
公園,大泉中央公園,練馬区大泉学園町九丁目,TEL03-3867-8096/FAX03-3921-3874/大泉中央公園サービスセンター,（公財）東京都公園協会お問合せフォームへ
公園,大神山公園,小笠原村父島,TEL04998-2-7170/FAX04998-2-7169/大神山公園サービスセンター,（公財）東京都公園協会お問合せフォームへ
公園,大島小松川公園,江東区大島九丁目/江戸川区小松川一丁目,TEL03-3636-9365/FAX03-3636-9365/大島小松川公園サービスセンター,アメニス東部地区グループお問合せフォームへ
公園,大戸緑地?,町田市相原町,TEL042-661-0042/FAX042-668-0244/陵南公園サービスセンター,西武・多摩部の公園パートナーズお問合せフォームへ
公園,尾久の原公園,荒川区東尾久七丁目ほか,TEL03-3819-8838/FAX03-3819-8854/尾久の原公園サービスセンター,アメニス東部地区グループお問合せフォームへ
公園,小山内裏公園,町田市小山ヶ丘四丁目/八王子市南大沢四丁目ほか,TEL042-676-8865/FAX042-676-8858/小山内裏公園サービスセンター,（公財）東京都公園協会お問合せフォームへ
公園,小山田緑地,町田市下小山田町ほか,TEL042-797-8968/FAX042-797-9749/小山田緑地サービスセンター,（公財）東京都公園協会お問合せフォームへ
