課,担当,連絡先,担当事務
庶務課,庶務担当,0422-47-0111,庶務・広報・庁舎管理
庶務課,経理担当,0422-47-0112,会計・契約
庶務課,検査担当,0422-47-0219,工事・材料などの検査
庶務課,用地調整担当/用地担当,0422-47-0115,公園用地の取得
管理課,管理担当,0422-47-1210,公園の管理および占用等の許可
管理課,利用指導担当,0422-47-1210,公園等の利用調整
管理課,管財担当,0422-47-1202,事業用財産・先行取得用地の管理
管理課,維持担当,0422-47-0153,公園の施設維持補修
工事課,事業担当,0422-47-0192,事業認可に係る調査・連絡調整
工事課,緑化推進担当,0422-47-0364,緑化の調査・計画・設計・工事および普及啓発
工事課,設計担当,0422-47-0114,公園の計画・設計および調査
工事課,野山北・六道山公園建設担当,0422-47-1204,工事の計画・調査及び設計
工事課,工事担当,0422-47-0162,工事の施工・監督
工事課,測量担当,0422-47-0167,公園事業用地の測量
