NO,文化財名称,指定年月日,作庭時期,管理者,備考
1,小石川後楽園,(国指定)大正12年3月7日史蹟及び名勝/(国指定)昭和12年5月15日追加指定、一部解除/(国指定)昭和27年3月29日特別史跡及び特別名勝,江戸初期,都,
2,六義園,(国指定)昭和15年8月30日名勝/(国指定)昭和28年3月31日特別名勝/(国指定)平成12年9月6日追加指定,江戸中期,都,
3,旧浜離宮庭園,(国指定)昭和23年12月18日名勝及び史蹟/(国指定)昭和27年3月29日追加指定/(国指定)昭和27年11月22日特別名勝及び特別史跡,江戸中期,都,
4,堀切菖蒲園,(葛飾区指定)昭和52年3月19日名勝,明治,葛飾区,
5,向島百花園,(国指定)昭和8年2月28日名勝（第二類）/(国指定)昭和31年1月23日指定解除/(国指定)昭和53年10月13日名勝及び史跡,江戸後期,都,
6,清澄庭園,(都指定)昭和54年3月31日名勝,明治,都,
7,旧芝離宮庭園,(国指定)昭和8年11月2日史蹟指定（奮芝離宮祉）/(国指定)昭和23年6月29日指定解除（明治天皇聖蹟）/(国指定)昭和54年6月25日名勝,江戸初期,都,
8,旧古河氏庭園,(都指定)昭和57年8月4日名勝/(国指定)平成18年1月26日名勝,大正,都,
9,旧安田庭園,(都指定)平成8年3月18日名勝,明治,墨田区,
10,殿ヶ谷戸庭園（随宜園）,(都指定)平成10年3月13日名勝/(国指定)平成23年9月21日名勝,大正,都,
11,旧安田楠雄邸庭園,(都指定)平成10年3月13日名勝,大正,日本ナショナルトラスト,
12,旧岩崎家住宅（東京都台東区池之端一丁目）,(国指定)昭和36年12月28日重要文化財（主屋、撞球室）/(国指定)昭和44年12月18日重要文化財（洋館、附・袖塀、撞球室、大広間）/(国指定)平成11年3月11日重要文化財（洋館、撞球室、大広間、附・洋館北面袖塀・煉瓦塀・実測図、宅地）,明治,都,
13,旧岩崎邸庭園※国際文化会館を示す。,(港区指定)平成17年10月25日名勝,,国際文化会館,
14,旧朝倉文夫氏庭園,(国指定)平成20年3月28日名勝,,台東区,
15,伝法院庭園,(国指定)平成23年9月21日名勝,江戸初期,浅草寺,
16,懐徳館庭園（旧加賀藩主前田氏本郷本邸庭園）,(国指定)平成27年3月10日名勝,明治,東京大学,
17,題経寺遼渓園,(都指定)平成28年3月11日名勝,,題経寺,
18,横山大観旧宅及び庭園,(国指定)平成29年2月9日史跡及び名勝,,横山大観記念館,
,,,,,※文化財庭園の並びは、指定年月日の古い順とする。ただし、変遷がある場合は文化財種別が定まった時点とする。
,,,,,※このほかに、国指定の登録記念物（名勝地関係）として、牧野記念庭園（牧野富太郎宅跡）、国立西洋美術館園地、菊池氏茶室（制居）庭園がある。
