"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2022","総務費","506174","2.1","498106","2.1"
"2022","保険給付費","13669876","57.4","13554953","57.0"
"2022","国民健康保険事業費納付金","9310709","39.1","9165268","38.5"
"2022","共同事業拠出金","2","0.0","2","0.0"
"2022","保健事業費","165431","0.7","165431","0.7"
"2022","諸支出金","70845","0.3","308821","1.3"
"2022","予備費","100000","0.4","100000","0.4"
"2022","歳出合計","23823037","100.0","23792581","100.0"
"2023","総務費","544260","2.2",,
"2023","保険給付費","13625443","55.8",,
"2023","国民健康保険事業費納付金","9885770","40.5",,
"2023","共同事業拠出金","1","0.0",,
"2023","保健事業費","181117","0.7",,
"2023","諸支出金","75394","0.3",,
"2023","予備費","100000","0.4",,
"2023","歳出合計","24411985","100.0",,

"令和5年度港区行政資料集　国民健康保険事業会計歳出予算","Ver202303",,,,
