協定名,締結先,協定内容
災害時の医療救護活動についての協定,（公社）墨田区医師会,災害時に医療救護班を編成し、救護所に派遣する。
災害時における応急食糧用精米の供給協力に関する協定,東京都米穀小売商業組合　墨田支部,災害時に区の要請に基づき、精米を供給する。
災害時における応急食糧用麺類等給食の供給協力に関する協定,東京都麺類協同組合本所支部、東京都麺類協同組合向島支部,災害時に区の要請に基づき、麺類等を供給する。
災害非常無線通信の協力に関する協定,墨田区アマチュア無線局非常通信協力会,災害時にアマチュア無線により、区内被災状況を区へ提供する。
白鬚東地区防災拠点における防災施設の管理及び防災機器の作動等に関する協定,東京都,発災時における白鬚東地区防災拠点区職員の派遣及び機器操作、作動指示等に関する協定。
災害時における応急輸送用貨物自動車等の供給協力に関する協定,東京都トラック協会　墨田支部,災害時に区の要請に基づき、物資輸送用等の車両及び人員の供給を行う。
災害時における柔道整復師会の協力に関する協定,（公社）東京都柔道整復師会　墨田支部,災害時に、負傷者に対する応急手当を実施する。
災害時における燃料の優先供給に関する協定,東京都石油商業組合台東・墨田支部,災害時に区の要請に基づき、ガソリン、軽油、灯油及び重油を優先供給する。
災害時における工作協力隊の派遣に関する協定,墨田建設産業連合会,災害時に区の要請に基づき、障害物の除去、仮設住宅の設置、公共施設及び被災家屋の応急修理への協力を行う。
都立高校の避難所施設利用に関する協定,区内都立高校及び特別支援学校  6校,災害時に施設の一部を避難所として区民に提供する。
災害時における井戸水の給水協力に関する協定,東京都公衆浴場業環境衛生同業組合墨田浴場支部,災害時に区の要請に基づき、生活用水として井戸水の供給を行う。
災害時における公衆浴場の使用及び井戸水の提供に関する協定,東京都公衆浴場業生活衛生同業組合墨田浴場支部,災害時に区の要請に基づき、被災者への入浴支援及び生活用水として井戸水の供給を行う。
災害時の薬剤師会の救護活動についての協定,（一社）墨田区薬剤師会,災害時に区の要請に基づき、救護所に薬剤師班を派遣する。また薬剤の優先供給を行う。
災害時の歯科医療救護活動についての協定,（公社）東京都向島歯科医師会、（一社）東京都本所歯科医師会,災害時に区の要請に基づき、救護所に歯科医療救護班を派遣する。
災害時における救護活動に関する社会福祉法人賛育会との相互援助協定,社会福祉法人　賛育会,災害時に区の要請に基づき、常時介護が必要な高齢者の受入れを行う。
災害時における墨田区と郵便局との相互協力協定,本所郵便局、向島郵便局,災害時における区の車両の提供のほか、施設及び土地等の相互提供を行う。
災害時における救護活動に関する墨田区と社会福祉法人同愛記念病院財団同愛記念ホームとの相互援助協定,社会福祉法人 同愛記念病院財団  同愛記念ホーム,災害時に区の要請に基づき、常時介護が必要な高齢者の受入れを行う。
災害時における救護活動に関する社会福祉法人八広会(和翔苑)との相互援助協定,社会福祉法人　八広会,災害時に区の要請に基づき、常時介護が必要な高齢者の受入れを行う。
災害時における貯水の利用等に関する協定,日本たばこ産業（株）,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,（株）東京楽天地,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,藤和不動産（株）,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,西濃運輸（株）,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,大林不動産（株）,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,セトル中之郷管理組合,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,YKK（株）,災害時に区の要請に基づき、貯水の提供を行う。
災害時における貯水の利用等に関する協定,ライオンズシティ両国管理組合,災害時に区の要請に基づき、貯水の提供を行う。
