"エリア","名称","電話番号","概要"
"芝・新橋エリア","虎ノ門ヒルズ森タワー","03-6406-6192","高さ247mの超高層複合タワー「虎ノ門ヒルズ森タワー」にはオフィス、ホテル、住居、商業店舗などが入っています。入り口には6000 平方メートルの屋外スペース「オーバル広場」が広がります。"
"芝・新橋エリア","新橋ＳＬ広場",,"テレビの街頭インタビューでおなじみの新橋SL 広場。新橋駅は、日本の鉄道創設起点です。広場近くには有名なガード下の飲食店街もあり、毎日勤め帰りの人などで賑わっています。"
"芝・新橋エリア","愛宕神社","03-3431-0327","愛宕山（標高26m）の頂上に祀られ、多くの人から火伏の神として信仰を集めました。正面の男坂は86段・40度の急勾配の石段で、寛永年間（1630年頃）に曲垣平九郎が馬で上下したと伝えられています。"
"芝・新橋エリア","東京タワー","03-3433-5111","333mの高さを誇る東京のシンボルです。地上150mのメインデッキでは、床の一部がガラスになった「スカイウォークウィンドウ」に注目。地上250mのトップデッキでは美しい夜景が見どころです。"
"芝・新橋エリア","増上寺","03-3432-1431","上野の寛永寺と並ぶ徳川家の菩提寺として知られ、6人の将軍が埋葬されています。国の重要文化財など、寺宝が多数あります。"
"芝・新橋エリア","芝公園","03-3431-4359（芝公園サービスセンター）","日本で最も古い公園の一つで、園内には丸山古墳もあります。初春には約70本の梅が、春には約140本もの桜が咲き誇ります。"
"芝・新橋エリア","旧芝離宮恩賜庭園","03-3434-4029","江戸初期の大名庭園の面影を今に伝える名園の一つ。回遊式泉水庭園で、国の「名勝」に指定されています。壮麗な石組と桜や紅葉などが見どころです。"
"芝・新橋エリア","ウォーターズ竹芝",,"2020年（令和2年）10月に全面開業した、JR 東日本グループによるウォーターフロント複合施設です。浜離宮恩賜庭園を一望できる立地に、大型ホテル、オフィス、店舗、劇場などで構成されています。"
"麻布・六本木エリア","国立新美術館","03-5777-8600","故黒川紀章が設計した波のような曲線のガラスに覆われている美しい外観で、コレクションを持たずアートセンターとしての役割を果たす新しいタイプの美術館です。"
"麻布・六本木エリア","毛利庭園","03-6406-6000","江戸時代末まであった大名庭園を六本木ヒルズの敷地内に再現した回遊式庭園です。面積約4300平方メートルに池や渓流、川のせせらぎのほか、桜や大銀杏などの木々が配置され、春には桜、秋には紅葉と、季節ごとの風情が楽しめます。"
