区分,使用者名,電話番号,FAX番号
卸売業者,東京千住青果（株）,03-3857-7000,03-3857-7157
卸売業者,（株）第一花き,03-3857-7500,03-3857-7515
仲卸業者の団体,東京北足立市場青果卸売協同組合,03-3857-7200・7201,03-3857-7201
仲卸業者の団体,北足立市場花き仲卸組合,03-3857-7575,03-3857-7577
小売業者の団体,東京都青果物商業協同組合北足立支所,03-3857-7271,03-3857-7274
小売業者の団体,富士青果商業協同組合,03-3857-7295,03-3857-7296
小売業者の団体,東邦青果事業協同組合,03-3857-7290,03-3857-7292
小売業者の団体,東和青果事業協同組合,03-3857-7315,03-3857-7315
小売業者の団体,共栄青果事業協同組合,03-3857-7333,03-3857-7334
関連事業者の団体,東京都北足立市場関連事業者組合,03-3857-7164,
その他の団体,北足立市場小売商連合会,03-3857-7271,03-3857-7274
その他の団体,北足立市場協会,03-3857-7190,03-3857-7190
その他の団体,北足立市場青果連絡協議会,03-3857-7315,
