区分,使用者名,電話番号,FAX番号
卸売業者,東京千住青果（株）葛西支社,03-3878-2501,03-3878-2547
卸売業者,東京フラワーポート（株）,03-5674-7100,03-5674-7101
仲卸業者の団体,葛西市場青果卸売協同組合,03-3878-2300,03-3878-2302
仲卸業者の団体,葛西市場花き部仲卸組合,03-5658-7061,03-5658-7063
小売業者の団体,東京都青果物商業協同組合葛西支所,03-3878-2055,03-3878-2075
小売業者の団体,東一青果事業協同組合,03-3878-2050,03-3878-2051
小売業者の団体,辰巳青果事業協同組合,03-3878-2070,03-3878-2071
小売業者の団体,葛南青果商協同組合,03-3878-2080,03-3878-2081
小売業者の団体,市川市青果小売商協同組合,047-377-3827,047-378-8480
小売業者の団体,市川市行徳青果協同組合,047-370-4707,047-370-5052
小売業者の団体,葛西市場花き事業協同組合,03-5658-7031,03-5658-7032
関連事業者の団体,葛西市場関連事業者組合,03-3878-2014,
関連事業者の団体,葛西市場花き部関連事業者組合,03-5658-7088,03-5658-7089
その他の団体,葛西市場自治会,03-3878-2072,03-3878-2072
