街区,調査区分,調査地点,試料採取日／第9回,試料採取日／濃度(1),試料採取日／濃度(2),試料採取日／濃度(3),試料採取日／濃度(4),試料採取日／濃度(5),ヒ素／第9回,ヒ素／濃度(1),ヒ素／濃度(2),ヒ素／濃度(3),ヒ素／濃度(4),ヒ素／濃度(5)
5街区,全体確認モニタリング,M31-2,2016-11-21,-,-,-,2017-07-27,-,0.038,-,-,-,0.04,-
5街区,全体確認モニタリング,O33-3,2016-11-21,-,-,-,2017-07-28,-,0.007,-,-,-,0.006,-
5街区,全体確認モニタリング,O38-1,2016-11-21,-,-,-,2017-07-27,-,0.022,-,-,-,0.02,-
6街区,濃度確認モニタリング,B10-5,2016-11-28,2017-04-24,2017-05-24,2017-06-20,2017-07-24,2017-08-16,0.022,0.034,0.027,0.028,0.031,0.016
6街区,濃度確認モニタリング,D10-5,2016-11-28,2017-04-25,2017-05-25,2017-06-20,2017-07-24,2017-08-16,0.012,0.022,0.021,0.019,0.02,0.011
6街区,濃度確認モニタリング,D11-5,2016-11-28,2017-04-24,2017-05-25,2017-06-21,2017-07-24,2017-08-17,0.015,0.02,0.019,0.017,0.017,0.014
6街区,濃度確認モニタリング,D12-5,2016-11-28,2017-04-24,2017-05-25,2017-06-21,2017-07-24,2017-08-17,0.021,0.027,0.028,0.023,0.025,0.023
6街区,濃度確認モニタリング,G12-3,2016-11-28,2017-04-25,2017-05-26,2017-06-22,2017-07-25,2017-08-18,0.018,0.028,0.033,0.03,0.027,0.022
6街区,濃度確認モニタリング,G8-1,2016-12-01,2017-04-18,2017-05-29,2017-06-22,2017-07-18,2017-08-21,不検出,0.007,0.007,0.005,0.005,0.004
6街区,全体確認モニタリング,A19-4,2016-12-02,-,-,-,2017-07-18,-,0.023,-,-,-,0.021,-
6街区,全体確認モニタリング,E11-2,2016-11-30,-,-,-,2017-07-25,-,0.017,-,-,-,0.025,-
7街区,濃度確認モニタリング,M5-2,2016-11-25,2017-04-18,2017-05-29,2017-06-22,2017-07-18,2017-08-21,0.002,0.004,0.008,0.006,0.009,0.007
7街区,全体確認モニタリング,K16-2,2016-11-22,-,-,-,2017-07-26,-,0.009,-,-,-,0.008,-
7街区,全体確認モニタリング,K19-7,2016-11-29,-,-,-,2017-07-21,-,0.016,-,-,-,0.012,-
7街区,全体確認モニタリング,K6-2,2016-12-06,-,-,-,2017-07-28,-,0.003,-,-,-,0.002,-
7街区,全体確認モニタリング,M20-4,2016-11-25,-,-,-,2017-07-21,-,0.019,-,-,-,0.019,-
7街区,全体確認モニタリング,N6-2,2016-11-29,-,-,-,2017-07-26,-,0.011,-,-,-,0.014,-
7街区,全体確認モニタリング,P21-3,2016-11-25,-,-,-,2017-07-21,-,0.026,-,-,-,0.031,-
