区分,使用者名,電話番号,FAX番号
卸売業者（事務棟）,東京青果（株）（東一）,03-5492-2111,03-5492-2400
卸売業者（事務棟）,東京荏原青果（株）（荏原）,03-5492-5511,03-5492-5519
卸売業者（事務棟）,東京神田青果市場（株）（一印）,03-5492-5001,03-5492-5009
卸売業者（事務棟）,東京東梅食品（株）,03-5492-5081,03-5492-5080
仲卸業者団体（事務棟）,東京大田市場青果卸売協同組合（東青卸）,03-5492-3000,03-5492-3479
仲卸業者団体（事務棟）,新神田市場青果卸売協同組合（新神田）,03-5492-4500,03-5492-4691
仲卸業者団体（事務棟）,大田市場青果卸売協同組合（大青卸）,03-5492-5877,03-5492-5898
仲卸業者団体（事務棟）,協同組合大田市場二十一（大田21）,03-5492-2525,03-5492-2527
小売業者団体（青果棟）,東京都青果物商業協同組合大田支所（商組大田支所）,03-5492-2611・2600,03-5492-2613
小売業者団体（青果棟）,東京都青果物商業協同組合荏原支所（商組荏原支所）,03-5492-5800,03-5492-5804
小売業者団体（青果棟）,東京都青果物商業協同組合京浜支所（商組京浜支所）,03-5492-5821,03-5492-5822
小売業者団体（青果棟）,東京神田青果物商業協同組合（神田商組）,03-5492-4516,03-5492-4858
小売業者団体（青果棟）,東京果物商業協同組合大田支所（果協大田支所）,03-5492-2622,03-5492-2626
小売業者団体（青果棟）,東京大田青果物商業協同組合大和支所（ヤマト支所）,03-5492-2591,03-5492-2593
