区分,使用者名,電話番号,FAX番号
小売業者団体（青果棟）,東光青果事業協同組合（東光）,03-5492-2631,03-5492-2630
小売業者団体（青果棟）,山一青果事業協同組合（山一）,03-5492-2581,03-5492-2580
小売業者団体（青果棟）,築地東京青果物商業協同組合（築地商組大田分室）,03-5492-6402,03-5492-6403
小売業者団体（青果棟）,東京大田青果物商業協同組合大東京支所（大東京）,03-5492-2571,03-5492-2577
小売業者団体（事務棟）,旭青果物商業協同組合（旭）,03-5492-4687,03-5492-4688
小売業者団体（事務棟）,大田市場第十五青果組合（十五組合）,03-5492-3475,03-5492-3479
小売業者団体（事務棟）,ビッグベジフル協同組合（ビッグ）,03-5492-4881,03-5492-4884
関連事業者団体（関連棟）,大田市場関連事業者協同組合,03-5492-2635,03-5492-2636
その他の団体（事務棟）,（一社）大田市場協会（市場協会）,03-5492-2700,03-5492-2704
その他の団体（事務棟）,大田市場買参連合会,03-5492-2579,03-5492-2579
その他の団体（事務棟）,大田市場流通事業協同組合,03-5492-2917,03-5492-2387（太陽運輸）
