区分,使用者名,電話番号,FAX番号
卸売業者団体,東京都水産物卸売業者協会（卸協会）,03-3547-8820・03-3541-0107,03-5565-4922
卸売業者,東都水産（株）（東水）,03-3547-8600,03-3541-5225
卸売業者,大都魚類（株）（大都）,03-3547-8500,03-3543-1460
卸売業者,中央魚類（株）（マル中）,03-3547-8700,03-3248-0690
卸売業者,築地魚市場（株）（東市）,03-3547-8403,03-3546-0224
卸売業者,第一水産（株）（第一）,03-3547-8300,03-3541-1466
卸売業者,綜合食品（株）（綜合）,03-3547-8100,03-3545-2639
卸売業者,丸千千代田水産（株）（千代田）,03-3547-8200,03-3541-1395
仲卸業者団体,東京魚市場卸協同組合（東卸）,03-3541-1122・5785,03-3546-8284
仲卸業者団体,東京魚市場大口卸協同組合（大口組合）,03-3547-8890,03-3541-9659
仲卸業者団体,（一社）丸商水産物卸（丸商）,03-3541-5783,03-3542-6075
売買参加者団体,東京魚市場買参協同組合（買参組合）,03-3547-8836,03-3543-4589
小売業者団体,東京魚商業協同組合（魚商）,03-3541-7415,03-3546-7862
