区分,使用者名,電話番号,FAX番号
水産関係,全国魚卸売市場連合会（全魚卸）,03-3949-2635,03-3949-2635
水産関係,三多摩地方卸売市場協議会,042-364-8211,042-364-8805
青果関係,（一社）全国青果卸売市場協会（全青協）,03-3251-3873,03-3251-3874
青果関係,東京都多摩地区青果卸売会社協会,042-577-1707,042-576-2222
青果関係,多摩地区青果小売商連合協議会,042-580-0522,042-580-0533
青果関係,東京多摩青果物商業協同組合（多摩商組）,042-475-4023,042-472-8083
青果関係,多摩地区青果仲卸組合連合会,042-577-1707,042-576-2222
花き関係,（一社）日本花き卸売市場協会,03-3291-6987,03-3291-8570
花き関係,（一社）日本花き卸売市場協会首都圏支所,03-3291-6987,03-3291-8570
花き関係,東京都花き市場協同組合,03-3790-3231,03-3790-3231
花き関係,東京園芸市場協同組合,0428-30-4187,0428-30-4190（事務担当）03-5674-7100
花き関係,東京都花き地方卸売市場連絡協議会,0428-30-4187,0428-30-4190
花き関係,（社）日本生花商協会（日花協）,045-779-2081,045-779-2084
花き関係,東京都生花商連合協同組合,03-3583-5587,03-3584-3787
花き関係,大多摩生花商組合連合会,042-575-1172,042-573-8251
