区分,使用者名,電話番号,FAX番号
卸売業者,東京豊島青果（株）板橋支社,03-3979-7511,03-3979-5788
卸売業者,東京富士青果（株）,03-3938-6111,03-3939-8700
卸売業者,（株）東日本板橋花き,03-3939-8701,03-3939-8700
仲卸業者の団体,板橋市場青果卸売協同組合,03-3938-7766,03-3938-7767
仲卸業者の団体,板橋市場花き部仲卸会,03-3977-0911,03-3977-0771
小売業者の団体,東京都青果物商業協同組合板橋支所（商組板橋支所）,03-3938-6800,03-3938-7600
小売業者の団体,東京果物商業協同組合板橋支所（果協板橋支所）,03-3938-6885,03-3938-6885
小売業者の団体,大和青果事業協同組合板橋支所,03-3938-6175,03-3938-6176
小売業者の団体,西武丸協青果協同組合,03-3938-5130,03-3938-4704
小売業者の団体,城北青果協同組合,03-3938-2070,03-3938-2070
小売業者の団体,商栄組合,03-3979-7590,
小売業者の団体,北東京花き事業協同組合,03-3976-2600,03-3976-8753
関連事業者の団体,板橋市場関連事業者組合,03-3938-6136,03-3938-6136
関連事業者の団体,板橋市場花き関連事業者団体,03-3977-1755,03-3977-1751
その他の団体,板橋市場協会,03-3979-7623,03-3979-5788
