区分,使用者名,電話番号,FAX番号
卸売業者,東京荏原ベジフル（株）,03-3415-6161,03-3417-6898
卸売業者,（株）世田谷花き（世田谷花き）,03-5494-8811,03-5494-8822
卸売業者,（株）東京砧花き園芸市場（砧花き）,03-5727-9111,03-5727-9100
仲卸業者の団体,世田谷市場青果卸売協同組合（青果仲卸組合）,03-3417-3173,03-3417-3174
仲卸業者の団体,東京フラワーホールセールマーケット協同組合,03-5809-4361,03-5809-4361
小売業者の団体,東京都青果物商業協同組合城南支所（商組城南支所）,03-3417-3236,03-3417-0946
小売業者の団体,東京世田谷花き事業協同組合,03-5727-3182,03-5727-3183
関連事業者の団体,世田谷市場関連事業者組合（関連組合）,03-3417-0217,
関連事業者の団体,世田谷市場花き部関連協議会,03-5727-5400,03-5727-5411
その他の団体,（一社）世田谷市場協会（協会）,03-3416-4359,03-3416-4368
その他の団体,世田谷市場青果部振興会,,
