区分,使用者名,電話番号,FAX番号
卸売業者,東京北魚（株）,03-3879-2524,03-3881-9500
卸売業者,大都魚類（株）千住支社,03-3879-2551,03-3879-2550
仲卸業者の団体,東京千住魚市場卸協同組合,03-3879-2600,03-3879-2602
売買参加者の団体,東京都足立市場買参組合,03-3879-2598,03-3879-2598
小売業者の団体,関東水産物商業協同組合（関水）,03-3881-3468,03-3881-2462
小売業者の団体,東京足立魚市場買出人団体連合会,03-3881-3468,03-3881-2462
小売業者の団体,常成鮮魚商連合会,03-3879-2590,
小売業者の団体,城北食料品連合会,03-3879-2588,
小売業者の団体,足立市場鮨商買出人組合,03-3870-4575,
小売業者の団体,城北食堂協同組合,03-3879-2581,
小売業者の団体,丸勤食販企業組合,03-3879-2577,
関連事業者の団体,東京都中央卸売市場足立市場関連事業者組合,03-3879-2807,03-3879-2816
関連事業者の団体,足立市場潮待茶屋企業組合,,
その他の団体,（一社）足立市場協会,03-3879-2750,03-3879-2750
