街区,調査区分,調査地点,試料採取日／第9回,試料採取日／濃度(1),試料採取日／濃度(2),試料採取日／濃度(3),試料採取日／濃度(4),試料採取日／濃度(5),シアン／第9回,シアン／濃度(1),シアン／濃度(2),シアン／濃度(3),シアン／濃度(4),シアン／濃度(5)
5街区,濃度確認モニタリング,M37-3,2016-11-21,2017-04-26,2017-05-31,2017-06-27,2017-07-27,2017-08-15,不検出,不検出,不検出,不検出,不検出,不検出
5街区,濃度確認モニタリング,O42-7,2016-11-29,2017-04-21,2017-05-30,2017-06-26,2017-07-20,2017-08-14,0.1,0.5,0.6,0.9,0.9,0.8
5街区,濃度確認モニタリング,P36-3,2016-12-01,2017-04-21,2017-05-29,2017-06-26,2017-07-19,2017-08-14,0.1,0.1,0.1,0.1,不検出,0.1
5街区,濃度確認モニタリング,P41-5,2016-12-01,2017-04-21,2017-05-29,2017-06-26,2017-07-19,2017-08-14,0.1,0.1,0.1,0.1,0.1,0.1
5街区,濃度確認モニタリング,Q37-5,2016-12-01,2017-04-21,2017-05-29,2017-06-26,2017-07-19,2017-08-14,不検出,不検出,不検出,不検出,不検出,不検出
5街区,全体確認モニタリング,J35-6,2016-11-29,-,-,-,2017-07-20,-,不検出,-,-,-,不検出,-
5街区,全体確認モニタリング,O38-1,2016-11-21,-,-,-,2017-07-27,-,不検出,-,-,-,不検出,-
6街区,濃度確認モニタリング,B10-5,2016-11-28,2017-04-24,2017-05-24,2017-06-20,2017-07-24,2017-08-16,1,1,0.9,1,1,0.9
6街区,濃度確認モニタリング,B11-5,2016-11-28,2017-04-24,2017-05-24,2017-06-20,2017-07-24,2017-08-16,0.6,1.3,1.4,1.5,1.2,1.5
6街区,濃度確認モニタリング,B9-2,2016-12-02,2017-04-18,2017-05-24,2017-06-20,2017-07-18,2017-08-16,0.4,0.4,0.3,0.3,0.2,0.3
6街区,濃度確認モニタリング,C11-5,2016-11-30,2017-04-24,2017-05-25,2017-06-21,2017-07-24,2017-08-16,0.6,0.4,0.6,0.6,0.4,0.4
6街区,濃度確認モニタリング,C26-7,2016-12-02,2017-04-18,2017-05-24,2017-06-20,2017-07-20,2017-08-17,1.2,0.2,0.1,不検出,不検出,不検出
6街区,濃度確認モニタリング,C9-2,2016-12-02,2017-04-20,2017-05-26,2017-06-23,2017-07-20,2017-08-18,0.8,0.1,不検出,不検出,不検出,不検出
6街区,濃度確認モニタリング,D10-5,2016-11-28,2017-04-25,2017-05-25,2017-06-20,2017-07-24,2017-08-16,0.7,0.7,0.8,0.8,0.6,0.7
6街区,濃度確認モニタリング,D11-5,2016-11-28,2017-04-24,2017-05-25,2017-06-21,2017-07-24,2017-08-17,1,1.3,1.3,1.3,1.2,1.3
6街区,濃度確認モニタリング,D12-5,2016-11-28,2017-04-24,2017-05-25,2017-06-21,2017-07-24,2017-08-17,0.7,1,1.1,1,1,1
6街区,濃度確認モニタリング,E12-4,2016-11-28,2017-04-25,2017-05-26,2017-06-21,2017-07-25,2017-08-17,1.2,1,0.9,0.9,0.8,0.8
6街区,濃度確認モニタリング,E12-6,2016-11-28,2017-04-25,2017-05-26,2017-06-22,2017-07-25,2017-08-17,0.8,0.5,0.4,0.6,0.4,0.4
6街区,濃度確認モニタリング,F11-5,2016-11-28,2017-04-25,2017-05-25,2017-06-21,2017-07-25,2017-08-18,1.2,1.4,1.4,1.4,1.4,1.3
6街区,濃度確認モニタリング,F9-9,2016-11-30,2017-04-25,2017-05-25,2017-06-21,2017-07-25,2017-08-18,0.2,0.7,0.7,0.7,0.7,0.7
6街区,濃度確認モニタリング,G12-3,2016-11-28,2017-04-25,2017-05-26,2017-06-22,2017-07-25,2017-08-18,0.1,0.7,0.7,0.6,0.7,0.7
6街区,濃度確認モニタリング,G8-1,2016-12-01,2017-04-18,2017-05-29,2017-06-22,2017-07-18,2017-08-21,不検出,不検出,不検出,不検出,不検出,不検出
6街区,全体確認モニタリング,B15-9,2016-11-30,-,-,-,2017-07-26,-,0.4,-,-,-,0.7,-
6街区,全体確認モニタリング,E11-2,2016-11-30,-,-,-,2017-07-25,-,0.5,-,-,-,0.7,-
7街区,濃度確認モニタリング,I24-3,2016-11-25,2017-04-19,2017-05-30,2017-06-23,2017-07-20,2017-08-18,不検出,不検出,0.1,0.1,0.2,0.1
7街区,濃度確認モニタリング,L25-1,2016-11-25,2017-04-19,2017-05-26,2017-06-23,2017-07-21,2017-08-21,0.1,0.1,0.1,0.1,0.1,0.1
7街区,濃度確認モニタリング,M5-2,2016-11-25,2017-04-18,2017-05-29,2017-06-22,2017-07-18,2017-08-21,不検出,不検出,不検出,不検出,0.1,不検出
7街区,全体確認モニタリング,J12-5,2016-11-22,-,-,-,2017-07-26,-,0.1,-,-,-,0.1,-
7街区,全体確認モニタリング,K6-2,2016-12-06,-,-,-,2017-07-28,-,0.1,-,-,-,不検出,-
7街区,全体確認モニタリング,N6-2,2016-11-29,-,-,-,2017-07-26,-,0.4,-,-,-,0.4,-
7街区,全体確認モニタリング,N12-2,2016-11-29,-,-,-,2017-07-18,-,0.3,-,-,-,0.1,-
