区分,使用者名,電話番号,FAX番号
関連事業者団体,築地市場関連事業者等協議会（築地関連協）,03-3547-8805,03-3524-0911
関連事業者団体,東京都中央卸売市場築地商業協同組合,03-3542-8550,03-5565-9062
関連事業者団体,東京中央市場飲食業協同組合,03-3541-0952,03-3541-0958
関連事業者団体,築地市場青果部関連事業者組合,03-3547-6705,
関連事業者団体,小揚会社連合会,03-3547-6777,
関連事業者団体,築地市場加工地域協議会（加工協）,03-3545-8182（ホクエイ食品（株）内）,
関連事業者団体,潮待茶屋企業組合,03-3541-6933,03-3541-6933
関連事業者団体,買荷保管企業組合,03-3547-8826,03-3543-7635
その他の団体,（一社）築地市場協会（市場協会）,03-3547-8862・03-3541-2640,03-3541-0743
その他の団体,（一財）東京都中央卸売市場環境整備協会（環整協）,03-3542-0675・03-3547-8874,03-3543-7956
その他の団体,東京都中央卸売市場倉庫利用協議会,03-3547-8938,03-3541-7760
その他の団体,東京中央卸売市場健康保険組合（健保組合）,03-3543-2711,03-3541-9909
その他の団体,東京都中央卸売市場輸送協力会（輸送協力会）,03-3547-8944・03-3541-4880,03-3541-4861
その他の団体,（一財）東京都中央卸売市場厚生協会（厚生協会）,03-3547-8858・03-3541-7738,03-3541-7789
その他の団体,東京中央市場輸送保管業連合会（輸送保管）,03-3541-4880,03-3541-4861
その他の団体,（一財）水産物市場改善協会,03-3547-8824（電話連絡お魚センター）,
その他の団体,NPO法人築地魚市場 銀鱗会,03-3541-7194,
