街区,調査区分,調査地点,試料採取日／第9回,試料採取日／濃度(1),試料採取日／濃度(2),試料採取日／濃度(3),試料採取日／濃度(4),試料採取日／濃度(5),ベンゼン／第9回,ベンゼン／濃度(1),ベンゼン／濃度(2),ベンゼン／濃度(3),ベンゼン／濃度(4),ベンゼン／濃度(5)
5街区,濃度確認モニタリング,I29-4,2016-12-01,2017-04-20,2017-05-30,2017-06-27,2017-07-20,2017-08-14,0.027,0.083,0.1,0.084,0.028,0.052
5街区,濃度確認モニタリング,K28-6,2016-12-01,2017-04-20,2017-05-30,2017-06-23,2017-07-21,2017-08-15,0.096,0.12,0.16,0.1,0.1,0.11
5街区,濃度確認モニタリング,K37-4,2016-11-21,2017-04-19,2017-05-31,2017-06-26,2017-07-20,2017-08-15,0.79,1,1,1.1,1,1.2
5街区,濃度確認モニタリング,L28-9,2016-12-01,2017-04-20,2017-05-31,2017-06-23,2017-07-20,2017-08-15,不検出,0.001,0.001,0.001,0.001,0.001
5街区,濃度確認モニタリング,L39-3,2016-11-21,2017-04-26,2017-05-31,2017-06-27,2017-07-28,2017-08-15,0.063,0.078,0.068,0.071,0.074,0.078
5街区,濃度確認モニタリング,M37-3,2016-11-21,2017-04-26,2017-05-31,2017-06-27,2017-07-27,2017-08-15,0.06,0.002,0.002,0.002,0.002,0.002
5街区,濃度確認モニタリング,O42-7,2016-11-29,2017-04-21,2017-05-30,2017-06-26,2017-07-20,2017-08-14,0.088,0.067,0.082,0.091,0.085,0.11
5街区,濃度確認モニタリング,P36-3,2016-12-01,2017-04-21,2017-05-29,2017-06-26,2017-07-19,2017-08-14,0.004,0.004,0.005,0.005,0.005,0.005
5街区,濃度確認モニタリング,Q37-5,2016-12-01,2017-04-21,2017-05-29,2017-06-26,2017-07-19,2017-08-14,0.044,0.016,0.016,0.024,0.016,0.017
5街区,全体確認モニタリング,J35-6,2016-11-29,-,-,-,2017-07-20,-,0.029,-,-,-,0.063,-
5街区,全体確認モニタリング,L31-1,2016-11-24,-,-,-,2017-07-28,-,0.031,-,-,-,0.037,-
5街区,全体確認モニタリング,N32-6,2016-11-21,-,-,-,2017-07-27,-,不検出,-,-,-,0.002,-
5街区,全体確認モニタリング,O33-3,2016-11-21,-,-,-,2017-07-28,-,0.001,-,-,-,0.018,-
5街区,全体確認モニタリング,O38-1,2016-11-21,-,-,-,2017-07-27,-,0.013,-,-,-,0.018,-
6街区,濃度確認モニタリング,B10-5,2016-11-28,2017-04-24,2017-05-24,2017-06-20,2017-07-24,2017-08-16,0.14,0.15,0.15,0.13,0.17,0.16
6街区,濃度確認モニタリング,B11-5,2016-11-28,2017-04-24,2017-05-24,2017-06-20,2017-07-24,2017-08-16,0.012,0.049,0.05,0.046,0.045,0.049
6街区,濃度確認モニタリング,B9-2,2016-12-02,2017-04-18,2017-05-24,2017-06-20,2017-07-18,2017-08-16,0.098,0.16,0.18,0.13,0.13,0.17
6街区,濃度確認モニタリング,C11-5,2016-11-30,2017-04-24,2017-05-25,2017-06-21,2017-07-24,2017-08-16,0.074,0.094,0.15,0.1,0.083,0.093
6街区,濃度確認モニタリング,C9-2,2016-12-02,2017-04-20,2017-05-26,2017-06-23,2017-07-20,2017-08-18,0.12,0.017,0.002,不検出,不検出,不検出
6街区,濃度確認モニタリング,D10-5,2016-11-28,2017-04-25,2017-05-25,2017-06-20,2017-07-24,2017-08-16,0.025,0.033,0.032,0.03,0.031,0.033
6街区,濃度確認モニタリング,D11-5,2016-11-28,2017-04-24,2017-05-25,2017-06-21,2017-07-24,2017-08-17,0.23,0.28,0.3,0.26,0.28,0.27
6街区,濃度確認モニタリング,D12-5,2016-11-28,2017-04-24,2017-05-25,2017-06-21,2017-07-24,2017-08-17,0.14,0.2,0.23,0.16,0.2,0.21
6街区,濃度確認モニタリング,E20-7,2016-11-30,2017-04-26,2017-05-26,2017-06-22,2017-07-26,2017-08-18,0.082,0.072,0.1,0.12,0.14,0.18
6街区,濃度確認モニタリング,F9-9,2016-11-30,2017-04-25,2017-05-25,2017-06-21,2017-07-25,2017-08-18,0.1,0.2,0.23,0.16,0.2,0.19
6街区,濃度確認モニタリング,G12-3,2016-11-28,2017-04-25,2017-05-26,2017-06-22,2017-07-25,2017-08-18,0.11,0.18,0.17,0.14,0.15,0.17
6街区,濃度確認モニタリング,G8-1,2016-12-01,2017-04-18,2017-05-29,2017-06-22,2017-07-18,2017-08-21,不検出,0.008,0.022,0.012,0.022,0.019
6街区,全体確認モニタリング,E11-2,2016-11-30,-,-,-,2017-07-25,-,0.03,-,-,-,0.07,-
7街区,濃度確認モニタリング,I24-3,2016-11-25,2017-04-19,2017-05-30,2017-06-23,2017-07-20,2017-08-18,0.011,0.037,0.084,0.087,0.064,0.1
7街区,濃度確認モニタリング,L25-1,2016-11-25,2017-04-19,2017-05-26,2017-06-23,2017-07-21,2017-08-21,0.021,0.034,0.038,0.032,0.021,0.031
7街区,濃度確認モニタリング,M5-2,2016-11-25,2017-04-18,2017-05-29,2017-06-22,2017-07-18,2017-08-21,不検出,不検出,0.002,不検出,0.005,0.001
7街区,全体確認モニタリング,K6-2,2016-12-06,-,-,-,2017-07-28,-,0.003,-,-,-,不検出,-
7街区,全体確認モニタリング,N12-2,2016-11-29,-,-,-,2017-07-18,-,0.003,-,-,-,0.002,-
7街区,全体確認モニタリング,P21-3,2016-11-25,-,-,-,2017-07-21,-,0.008,-,-,-,0.017,-
