市場名,野菜／数量（トン）,野菜／金額（千円）,果実／数量（トン）,果実／金額（千円）,生鮮水産物／数量（トン）,生鮮水産物／金額（千円）,冷凍水産物／数量（トン）,冷凍水産物／金額（千円）,加工水産物／数量（トン）,加工水産物／金額（千円）,その他／数量（トン）,その他／金額（千円）,合計／数量（トン）,合計／金額（千円）
東京都練馬青果地方卸売市場,16762,3527963,1719,581603,-,-,-,-,-,-,215,64887,18696,4174453
東京都青梅青果地方卸売市場,947,246624,400,92155,-,-,-,-,-,-,60,18820,1407,357599
東京都八王子北野地方卸売市場,15766,4016488,2825,1016151,-,-,-,-,-,-,23,8418,18614,5041057
東京都国立地方卸売市場,203553,49510801,55810,20418417,-,-,-,-,-,-,619,164542,259982,70093760
東京都東久留米地方卸売市場,48282,10763771,13951,4783606,-,-,-,-,-,-,269,70056,62502,15617433
東京都八王子魚市場地方卸売市場,-,-,-,-,217,255311,238,312804,165,198480,19,29132,639,795727
東京東久留米水産地方卸売市場,-,-,-,-,374,435267,576,455041,29,23299,0,0,979,913607
府中大東京綜合地方卸売市場,-,-,-,-,47,82053,40,70474,33,52466,2,2044,122,207037
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
