区分,使用者名,電話番号,FAX番号
卸売業者,東京食肉市場（株）（市場会社）,03-3740-3111,03-3472-0127
仲卸業者の団体,東京食肉市場卸商協同組合（卸商組合）,03-3471-0181,03-3471-0183
売買参加者の団体,東京食肉買参事業協同組合,03-3471-5487,03-3471-5434
小売業者の団体,東京都食肉事業協同組合,03-3471-6161,03-3458-4129
関連事業者・その他の団体,東京芝浦臓器（株）（臓器会社）,03-3474-0391,03-3474-3288
関連事業者・その他の団体,芝浦畜産臓器協同組合（臓器組合）,03-3474-7697,03-3474-7666
関連事業者・その他の団体,東京芝浦原皮協同組合（原皮）,03-3471-3580,03-3471-3580
関連事業者・その他の団体,東京食肉市場関連事業者組合（関連組合）,03-3471-0751,03-3471-2017
関連事業者・その他の団体,（一社）東京食肉市場協会（協会）,03-3472-9259,03-3472-9306
関連事業者・その他の団体,（株）東京食肉安全検査センター,03-3471-5150,03-3471-8152
