 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"308,322","132,626","1,751,816","692,632","97,006","130,043","513,058","676,064","211,316","2,583","1,238,758","16,568"
,100.8%,119.8%,96.2%,101.7%,97.0%,120.4%,91.3%,101.8%,102.6%,94.5%,98.3%,99.4%
外航計,"283,002","115,569","1,616,718","583,850","85,719","114,656","450,317","579,465","197,283",913,"1,166,401","4,385"
,100.2%,129.9%,96.4%,106.1%,98.0%,129.7%,93.6%,106.3%,101.2%,166.3%,97.5%,79.8%
外航定期計,"283,002","115,569","1,616,718","583,850","85,719","114,656","450,317","579,465","197,283",913,"1,166,401","4,385"
,100.2%,129.9%,96.4%,106.1%,98.0%,129.7%,93.6%,106.3%,101.2%,166.3%,97.5%,79.8%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"34,504","17,147","216,177","80,839","8,217","16,938","69,750","79,437","26,287",209,"146,427","1,402"
,82.3%,99.8%,91.0%,92.0%,52.4%,99.5%,81.5%,91.9%,100.1%,122.2%,96.4%,97.6%
北米東岸(カリビア海含む),"8,890","1,645","55,895","14,509","5,171","1,599","25,507","14,407","3,719",46,"30,388",102
,95.3%,100.5%,82.7%,111.2%,119.4%,98.9%,88.1%,112.4%,74.4%,230.0%,78.6%,44.9%
北欧・地中海,"23,601","2,863","127,888","14,328","16,559","2,832","67,607","14,149","7,042",31,"60,281",179
,139.6%,110.2%,116.0%,100.9%,203.6%,109.6%,134.5%,101.5%,80.3%,193.8%,100.5%,69.4%
南米西岸,"3,052","2,344","17,070","12,825",363,"2,336","2,210","12,522","2,689",8,"14,860",303
,190.4%,514.0%,76.3%,328.2%,1134.4%,523.8%,397.5%,339.2%,171.2%,80.0%,68.1%,140.3%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
