< 輸  入 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,衣服・身廻品・はきもの,電気機械,製造食品,その他化学工業品,家具装備品
,"2,881,266",100.0%,"334,600","304,654","216,553","182,122","158,923"
,101.0%,,103.3%,110.1%,99.3%,88.9%,98.8%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,その他畜産品,動植物性製造飼肥料,製造食品,製材,その他化学工業品
,"388,772",13.5%,"85,327","64,385","43,109","31,931","17,844"
,100.1%,,126.5%,97.9%,96.7%,72.2%,95.0%
北米東岸(カリビア海含む),,,紙・パ　ル　プ,その他化学工業品,その他畜産品,衣服・身廻品・はきもの,飲料
,"54,657",1.9%,"10,763","5,546","4,171","3,468","3,023"
,74.1%,,75.6%,88.8%,32.2%,284.5%,106.1%
北欧・地中海,,,飲料,製造食品,その他化学工業品,産業機械,その他畜産品
,"100,945",3.5%,"13,431","11,528","8,803","5,268","5,244"
,80.3%,,83.4%,81.9%,72.8%,64.9%,177.4%
南米西岸,,,野菜・果物,飲料,水産品,その他畜産品,製造食品
,"37,785",1.3%,"11,866","7,926","5,642","3,868","2,695"
,166.2%,,150.3%,174.3%,318.4%,190.9%,456.0%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,野菜・果物,製造食品,木製品,製材,その他畜産品
,"20,625",0.7%,"5,334","4,784","2,621","2,212","1,896"
,30.5%,,105.4%,49.2%,50.7%,18.0%,15.8%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,衣服・身廻品・はきもの,電気機械,その他化学工業品,製造食品,家具装備品
,"1,217,277",42.2%,"162,864","157,075","100,749","80,360","74,764"
,98.5%,,96.7%,102.6%,90.1%,108.8%,86.8%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,その他化学工業品,製造食品,産業機械,飲料,木製品
,"117,382",4.1%,"17,479","15,721","7,912","6,445","5,785"
,98.5%,,76.4%,111.0%,112.9%,77.7%,113.9%
中国(香港含む),,,衣服・身廻品・はきもの,電気機械,家具装備品,製造食品,金属製品
,"943,823",32.8%,"158,497","135,685","72,923","56,827","54,963"
,115.2%,,109.2%,123.1%,120.5%,97.9%,142.1%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
