 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,982 ","15,345,080 ","11,749 ","89,627,294 ",453 ,"11,406,060 ","2,597 ","66,769,111 ","1,529 ","3,939,020 ","9,152 ","22,858,183 "
公共計,"1,005 ","5,910,734 ","5,788 ","32,969,957 ",184 ,"2,773,714 ","1,038 ","15,504,753 ",821 ,"3,137,020 ","4,750 ","17,465,204 "
ドルフィン,4 ,"2,739 ",27 ,"17,424 ",-,-,-,-,4 ,"2,739 ",27 ,"17,424 "
芝浦ふ頭,36 ,"99,324 ",190 ,"494,123 ",-,-,-,-,36 ,"99,324 ",190 ,"494,123 "
芝浦物揚場,25 ,"11,518 ",143 ,"65,861 ",-,-,-,-,25 ,"11,518 ",143 ,"65,861 "
日の出ふ頭,8 ,"5,580 ",41 ,"31,995 ",-,-,-,-,8 ,"5,580 ",41 ,"31,995 "
竹芝ふ頭,129 ,"244,926 ",906 ,"2,006,289 ",-,-,-,-,129 ,"244,926 ",906 ,"2,006,289 "
品川岸壁,152 ,"1,635,659 ",863 ,"9,242,138 ",79 ,"795,214 ",441 ,"4,421,493 ",73 ,"840,445 ",422 ,"4,820,645 "
　品川コンテナ,81 ,"746,575 ",460 ,"4,187,248 ",75 ,"740,486 ",421 ,"4,149,715 ",6 ,"6,089 ",39 ,"37,533 "
　品川外貿,4 ,"54,728 ",20 ,"271,778 ",4 ,"54,728 ",20 ,"271,778 ",-,-,-,-
　品川内貿,67 ,"834,356 ",383 ,"4,783,112 ",-,-,-,-,67 ,"834,356 ",383 ,"4,783,112 "
晴海ふ頭,8 ,"281,287 ",40 ,"958,128 ",4 ,"227,076 ",22 ,"858,088 ",4 ,"54,211 ",18 ,"100,040 "
月島ふ頭,5 ,"1,776 ",19 ,"6,842 ",-,-,-,-,5 ,"1,776 ",19 ,"6,842 "
漁業基地,5 ,"7,311 ",13 ,"18,799 ",-,-,-,-,5 ,"7,311 ",13 ,"18,799 "
10号西岸壁,82 ,"907,808 ",418 ,"4,506,954 ",-,-,-,-,82 ,"907,808 ",418 ,"4,506,954 "
10号東岸壁,26 ,"11,956 ",183 ,"81,632 ",-,-,-,-,26 ,"11,956 ",183 ,"81,632 "
東京港フェリーふ頭,30 ,"379,080 ",171 ,"2,160,756 ",-,-,-,-,30 ,"379,080 ",171 ,"2,160,756 "
多目的ふ頭,1 ,"5,747 ",7 ,"25,703 ",-,-,-,-,1 ,"5,747 ",7 ,"25,703 "
辰巳ふ頭,92 ,"32,350 ",502 ,"178,432 ",-,-,-,-,92 ,"32,350 ",502 ,"178,432 "
青海コンテナふ頭（公共）,138 ,"1,650,827 ",778 ,"9,006,865 ",90 ,"1,613,578 ",502 ,"8,766,649 ",48 ,"37,249 ",276 ,"240,216 "
有明ふ頭,6 ,"4,043 ",35 ,"30,184 ",-,-,-,-,6 ,"4,043 ",35 ,"30,184 "
大井水産物ふ頭,-,-,5 ,"418,561 ",-,-,5 ,"418,561 ",-,-,-,-
大井食品ふ頭（OL）,35 ,"22,785 ",126 ,"433,704 ",1 ,"17,968 ",19 ,"416,862 ",34 ,"4,817 ",107 ,"16,842 "
大井食品ふ頭（OM）,5 ,"46,696 ",28 ,"252,912 ",5 ,"46,696 ",28 ,"252,912 ",-,-,-,-
大井食品ふ頭（ON）,3 ,"34,052 ",3 ,"34,052 ",3 ,"34,052 ",3 ,"34,052 ",-,-,-,-
若洲内貿ふ頭,13 ,"130,442 ",71 ,"712,414 ",-,-,-,-,13 ,"130,442 ",71 ,"712,414 "
15号地木材ふ頭,1 ,"37,158 ",24 ,"199,873 ",1 ,"37,158 ",6 ,"195,792 ",-,-,18 ,"4,081 "
若洲建材ふ頭,42 ,"24,211 ",248 ,"142,155 ",-,-,-,-,42 ,"24,211 ",248 ,"142,155 "
大井建材ふ頭,77 ,"45,861 ",496 ,"286,355 ",-,-,-,-,77 ,"45,861 ",496 ,"286,355 "
城南島建設発生土ふ頭,43 ,"30,673 ",239 ,"156,947 ",-,-,-,-,43 ,"30,673 ",239 ,"156,947 "
中央防波堤内側ばら物ふ頭,5 ,"3,972 ",28 ,"148,960 ",1 ,"1,972 ",12 ,"140,344 ",4 ,"2,000 ",16 ,"8,616 "
中央防波堤内側建設発生土ふ頭,9 ,"12,834 ",22 ,"30,751 ",-,-,-,-,9 ,"12,834 ",22 ,"30,751 "
中央防波堤内側内貿ふ頭,22 ,"232,869 ",121 ,"1,280,844 ",-,-,-,-,22 ,"232,869 ",121 ,"1,280,844 "
官公庁（晴海）,2 ,"4,753 ",9 ,"20,332 ",-,-,-,-,2 ,"4,753 ",9 ,"20,332 "
官公庁（月島）,-,-,26 ,"4,990 ",-,-,-,-,-,-,26 ,"4,990 "
官公庁（有明）,1 ,"2,497 ",6 ,"14,982 ",-,-,-,-,1 ,"2,497 ",6 ,"14,982 "
東京港埠頭㈱計,378 ,"8,511,699 ","2,204 ","50,893,348 ",241 ,"8,304,602 ","1,408 ","49,520,030 ",137 ,"207,097 ",796 ,"1,373,318 "
青海コンテナふ頭(埠頭㈱),80 ,"2,120,003 ",441 ,"11,146,442 ",68 ,"2,109,301 ",369 ,"11,075,686 ",12 ,"10,702 ",72 ,"70,756 "
お台場ライナーふ頭,30 ,"218,402 ",209 ,"1,423,652 ",12 ,"151,567 ",69 ,"947,397 ",18 ,"66,835 ",140 ,"476,255 "
大井コンテナふ頭,268 ,"6,173,294 ","1,554 ","38,323,254 ",161 ,"6,043,734 ",970 ,"37,496,947 ",107 ,"129,560 ",584 ,"826,307 "
民間計,599 ,"922,647 ","3,757 ","5,763,989 ",28 ,"327,744 ",151 ,"1,744,328 ",571 ,"594,903 ","3,606 ","4,019,661 "
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
